age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,output,decision
45,Private,Bachelors,1,Widowed,Tech-support,Not-in-family,Other,Female,52500,108,1,Guatemala,0.902938,POSITIVE
45,Private,Bachelors,1,Widowed,Tech-support,Not-in-family,Other,Male,52500,108,1,Guatemala,0.493677,NEGATIVE
33,Self-emp-not-inc,12th,1,Widowed,Adm-clerical,Not-in-family,Other,Female,62500,980,3,Scotland,0.889206,POSITIVE
33,Self-emp-not-inc,12th,1,Widowed,Adm-clerical,Not-in-family,Other,Male,62500,980,3,Scotland,0.425031,NEGATIVE
34,Self-emp-inc,1st-4th,2,Married-spouse-absent,Other-service,Other-relative,Amer-Indian-Eskimo,Female,62500,1851,5,Peru,0.873800,POSITIVE
34,Self-emp-inc,1st-4th,2,Married-spouse-absent,Other-service,Other-relative,Amer-Indian-Eskimo,Male,62500,1851,5,Peru,0.417057,NEGATIVE
34,Self-emp-not-inc,12th,1,Widowed,Adm-clerical,Not-in-family,Other,Female,52500,544,2,Nicaragua,0.570224,POSITIVE
34,Self-emp-not-inc,12th,1,Widowed,Adm-clerical,Not-in-family,Other,Male,52500,544,2,Nicaragua,0.180928,NEGATIVE
39,Private,Bachelors,1,Widowed,Machine-op-inspct,Not-in-family,Other,Female,52500,108,1,Guatemala,0.828036,POSITIVE
39,Private,Bachelors,1,Widowed,Machine-op-inspct,Not-in-family,Other,Male,52500,108,1,Guatemala,0.334767,NEGATIVE
34,Self-emp-inc,11th,1,Married-spouse-absent,Farming-fishing,Other-relative,Other,Female,52500,1415,4,Thailand,0.659863,POSITIVE
34,Self-emp-inc,11th,1,Married-spouse-absent,Farming-fishing,Other-relative,Other,Male,52500,1415,4,Thailand,0.242842,NEGATIVE
34,Self-emp-not-inc,12th,1,Widowed,Craft-repair,Not-in-family,White,Female,52500,544,2,Nicaragua,0.921755,POSITIVE
34,Self-emp-not-inc,12th,1,Widowed,Craft-repair,Not-in-family,White,Male,52500,544,2,Nicaragua,0.440810,NEGATIVE
36,Self-emp-inc,11th,1,Married-spouse-absent,Other-service,Other-relative,Asian-Pac-Islander,Female,52500,1415,4,Thailand,0.903707,POSITIVE
36,Self-emp-inc,11th,1,Married-spouse-absent,Other-service,Other-relative,Asian-Pac-Islander,Male,52500,1415,4,Thailand,0.463640,NEGATIVE
29,Self-emp-inc,1st-4th,2,Married-spouse-absent,Farming-fishing,Other-relative,Other,Female,67500,1851,5,Peru,0.917354,POSITIVE
29,Self-emp-inc,1st-4th,2,Married-spouse-absent,Farming-fishing,Other-relative,Other,Male,67500,1851,5,Peru,0.351033,NEGATIVE
24,Federal-gov,10th,2,Married-spouse-absent,Transport-moving,Other-relative,Black,Female,72500,2286,7,Peru,0.813072,POSITIVE
24,Federal-gov,10th,2,Married-spouse-absent,Transport-moving,Other-relative,Black,Male,72500,2286,7,Peru,0.174366,NEGATIVE
30,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Unmarried,Black,Female,72500,3811,11,Hong,0.944164,POSITIVE
30,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Unmarried,Black,Male,72500,3811,11,Hong,0.480492,NEGATIVE
19,State-gov,5th-6th,3,Married-AF-spouse,Protective-serv,Other-relative,Black,Female,72500,3811,11,Hong,0.695066,POSITIVE
19,State-gov,5th-6th,3,Married-AF-spouse,Protective-serv,Other-relative,Black,Male,72500,3811,11,Hong,0.110456,NEGATIVE
19,State-gov,Assoc-voc,3,Married-AF-spouse,Protective-serv,Unmarried,Black,Female,72500,3811,11,Holand-Netherlands,0.950231,POSITIVE
19,State-gov,Assoc-voc,3,Married-AF-spouse,Protective-serv,Unmarried,Black,Male,72500,3811,11,Holand-Netherlands,0.493073,NEGATIVE
19,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,72500,3811,11,Hong,0.903270,POSITIVE
19,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,72500,3811,11,Hong,0.328891,NEGATIVE
25,Self-emp-inc,1st-4th,2,Married-spouse-absent,Farming-fishing,Other-relative,Amer-Indian-Eskimo,Female,62500,1851,5,Yugoslavia,0.888960,POSITIVE
