age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
16,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,52500,4029,89,Portugal,0
16,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,52500,4029,89,Portugal,1
10,Self-emp-not-inc,7th-8th,1,Married-civ-spouse,Craft-repair,Wife,White,Female,52500,4029,90,Portugal,0
10,Self-emp-not-inc,7th-8th,1,Married-civ-spouse,Craft-repair,Wife,White,Male,52500,4029,90,Portugal,1
13,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Female,52500,3375,89,Portugal,0
13,Private,Bachelors,1,Married-civ-spouse,Tech-support,Wife,White,Male,52500,3375,89,Portugal,1
10,Self-emp-not-inc,Some-college,10,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,57500,4029,91,Ireland,0
10,Self-emp-not-inc,Some-college,10,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,57500,4029,91,Ireland,1
10,Self-emp-not-inc,Some-college,2,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,57500,3593,91,Ireland,0
10,Self-emp-not-inc,Some-college,2,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,57500,3593,91,Ireland,1
22,Private,7th-8th,1,Married-civ-spouse,Tech-support,Wife,White,Female,52500,4029,89,Outlying-US(Guam-USVI-etc),0
22,Private,7th-8th,1,Married-civ-spouse,Tech-support,Wife,White,Male,52500,4029,89,Outlying-US(Guam-USVI-etc),1
22,Self-emp-not-inc,12th,9,Married-civ-spouse,Craft-repair,Wife,White,Female,52500,4029,90,United-States,0
22,Self-emp-not-inc,12th,9,Married-civ-spouse,Craft-repair,Wife,White,Male,52500,4029,90,United-States,1
22,Private,Prof-school,9,Married-civ-spouse,Tech-support,Wife,White,Female,52500,4029,89,Outlying-US(Guam-USVI-etc),0
22,Private,Prof-school,9,Married-civ-spouse,Tech-support,Wife,White,Male,52500,4029,89,Outlying-US(Guam-USVI-etc),1
22,Self-emp-not-inc,Some-college,1,Married-civ-spouse,Craft-repair,Wife,White,Female,52500,3375,90,Outlying-US(Guam-USVI-etc),0
22,Self-emp-not-inc,Some-college,1,Married-civ-spouse,Craft-repair,Wife,White,Male,52500,3375,90,Outlying-US(Guam-USVI-etc),1
22,Self-emp-not-inc,Some-college,2,Married-civ-spouse,Craft-repair,Wife,White,Female,77500,3375,90,United-States,0
22,Self-emp-not-inc,Some-college,2,Married-civ-spouse,Craft-repair,Wife,White,Male,77500,3375,90,United-States,1
22,Self-emp-not-inc,Some-college,2,Widowed,Craft-repair,Wife,White,Female,52500,3375,90,United-States,0
22,Self-emp-not-inc,Some-college,2,Widowed,Craft-repair,Wife,White,Male,52500,3375,90,United-States,1
25,Self-emp-not-inc,Some-college,10,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,57500,4029,91,Cambodia,0
25,Self-emp-not-inc,Some-college,10,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,57500,4029,91,Cambodia,1
25,Self-emp-not-inc,Assoc-acdm,2,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,57500,4029,91,Cambodia,0
25,Self-emp-not-inc,Assoc-acdm,2,Divorced,Sales,Own-child,Asian-Pac-Islander,Male,57500,4029,91,Cambodia,1
22,Self-emp-inc,11th,5,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Female,57500,3593,92,Cambodia,0
22,Self-emp-inc,11th,5,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,57500,3593,92,Cambodia,1
22,Self-emp-not-inc,Bachelors,1,Widowed,Craft-repair,Wife,White,Female,52500,4029,77,United-States,0
