job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,decision
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,30,188,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,30,188,0,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,28,205,0,failure,0,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,28,205,0,failure,1,0
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,26,205,1,failure,0,1
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,26,205,1,failure,1,0
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4852,26,204,0,failure,0,1
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4852,26,204,0,failure,1,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4767,26,204,0,failure,0,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4767,26,204,0,failure,1,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4751,28,190,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4751,28,190,1,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4720,26,189,0,failure,0,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4720,26,189,0,failure,1,0
services,divorced,illiterate,no,no,no,cellular,feb,tue,-3,4875,26,189,1,failure,0,1
services,divorced,illiterate,no,no,no,cellular,feb,tue,-3,4875,26,189,1,failure,1,0
entrepreneur,married,basic.9y,no,no,no,cellular,mar,wed,-2,4906,26,198,2,nonexistent,0,1
entrepreneur,married,basic.9y,no,no,no,cellular,mar,wed,-2,4906,26,198,2,nonexistent,1,0
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4735,26,192,2,nonexistent,0,1
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4735,26,192,2,nonexistent,1,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4376,26,188,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4376,26,188,0,failure,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,30,173,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4845,30,173,0,failure,1,1
services,divorced,illiterate,no,no,no,cellular,aug,tue,-3,4875,28,182,1,failure,0,1
services,divorced,illiterate,no,no,no,cellular,aug,tue,-3,4875,28,182,1,failure,1,0
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,28,174,0,failure,0,0
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4860,28,174,0,failure,1,1
housemaid,married,basic.9y,no,no,no,cellular,aug,wed,-2,4735,28,177,2,nonexistent,0,0
housemaid,married,basic.9y,no,no,no,cellular,aug,wed,-2,4735,28,177,2,nonexistent,1,1
student,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4937,28,184,5,success,0,1
student,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4937,28,184,5,success,1,0
technician,married,basic.9y,unknown,unknown,unknown,telephone,oct,fri,-1,4953,26,177,4,nonexistent,0,1
technician,married,basic.9y,unknown,unknown,unknown,telephone,oct,fri,-1,4953,26,177,4,nonexistent,1,0
management,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4984,26,179,6,success,0,1
management,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4984,26,179,6,success,1,0
entrepreneur,married,basic.9y,no,no,no,cellular,sep,wed,-2,4750,26,183,2,nonexistent,0,1
entrepreneur,married,basic.9y,no,no,no,cellular,sep,wed,-2,4750,26,183,2,nonexistent,1,0
housemaid,married,professional.course,unknown,unknown,unknown,telephone,oct,fri,-1,4781,26,177,4,nonexistent,0,1
housemaid,married,professional.course,unknown,unknown,unknown,telephone,oct,fri,-1,4781,26,177,4,nonexistent,1,0
management,single,basic.9y,unknown,unknown,unknown,telephone,nov,(null),0,4812,26,178,5,success,0,1
management,single,basic.9y,unknown,unknown,unknown,telephone,nov,(null),0,4812,26,178,5,success,1,0
student,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4968,26,184,5,success,0,1
student,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4968,26,184,5,success,1,0
student,married,basic.9y,no,no,no,cellular,mar,wed,-2,4750,26,183,2,nonexistent,0,1
student,married,basic.9y,no,no,no,cellular,mar,wed,-2,4750,26,183,2,nonexistent,1,0
technician,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4797,26,177,4,nonexistent,0,1
technician,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4797,26,177,4,nonexistent,1,0
management,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4812,26,184,5,success,0,1
management,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4812,26,184,5,success,1,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4548,28,174,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4548,28,174,0,failure,1,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4438,26,175,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4438,26,175,1,failure,1,1
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4563,26,182,1,failure,0,1
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4563,26,182,1,failure,1,0
entrepreneur,married,professional.course,no,no,no,cellular,mar,wed,-2,4594,26,183,2,nonexistent,0,1
entrepreneur,married,professional.course,no,no,no,cellular,mar,wed,-2,4594,26,183,2,nonexistent,1,0
housemaid,married,basic.9y,unknown,unknown,unknown,telephone,apr,fri,-1,4625,26,184,4,nonexistent,0,1
housemaid,married,basic.9y,unknown,unknown,unknown,telephone,apr,fri,-1,4625,26,184,4,nonexistent,1,0
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4422,26,177,2,nonexistent,0,0
