LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,decision
500000,0,2,0,50,0,1,0,2,0,2,200000,200000,70000,70000,200000,200000,20000,5000,20000,2000,5000,5000,1
500000,1,2,0,50,0,1,0,2,0,2,200000,200000,70000,70000,200000,200000,20000,5000,20000,2000,5000,5000,0
250000,0,2,1,60,0,1,1,2,2,0,70000,200000,70000,70000,70000,200000,20000,5000,20000,5000,5000,5000,1
250000,1,2,1,60,0,1,1,2,2,0,70000,200000,70000,70000,70000,200000,20000,5000,20000,5000,5000,5000,0
250000,0,2,1,60,0,1,2,0,2,0,200000,70000,70000,70000,70000,70000,5000,20000,5000,5000,5000,2000,1
250000,1,2,1,60,0,1,2,0,2,0,200000,70000,70000,70000,70000,70000,5000,20000,5000,5000,5000,2000,0
250000,0,2,1,60,0,1,1,2,0,2,70000,70000,200000,70000,200000,200000,20000,20000,5000,500,5000,2000,1
250000,1,2,1,60,0,1,1,2,0,2,70000,70000,200000,70000,200000,200000,20000,20000,5000,500,5000,2000,0
250000,0,2,0,60,0,0,2,0,0,0,200000,70000,200000,70000,70000,200000,5000,20000,20000,0,5000,5000,1
250000,1,2,0,60,0,0,2,0,0,0,200000,70000,200000,70000,70000,200000,5000,20000,20000,0,5000,5000,0
500000,0,2,1,50,0,0,1,0,0,2,200000,200000,70000,200000,70000,70000,20000,5000,20000,5000,5000,500,1
500000,1,2,1,50,0,0,1,0,0,2,200000,200000,70000,200000,70000,70000,20000,5000,20000,5000,5000,500,0
250000,0,2,0,50,0,1,0,2,2,0,200000,70000,200000,70000,70000,200000,20000,20000,5000,5000,0,5000,1
250000,1,2,0,50,0,1,0,2,2,0,200000,70000,200000,70000,70000,200000,20000,20000,5000,5000,0,5000,0
250000,0,2,1,50,0,1,0,0,2,0,70000,70000,200000,200000,200000,70000,5000,20000,20000,2000,0,2000,1
250000,1,2,1,50,0,1,0,0,2,0,70000,70000,200000,200000,200000,70000,5000,20000,20000,2000,0,2000,0
500000,0,2,0,60,0,0,0,0,0,0,70000,200000,200000,70000,200000,70000,20000,20000,5000,0,500,2000,1
500000,1,2,0,60,0,0,0,0,0,0,70000,200000,200000,70000,200000,70000,20000,20000,5000,0,500,2000,0
250000,0,2,1,60,0,0,1,2,2,2,70000,200000,200000,70000,200000,70000,20000,20000,5000,2000,0,0,1
250000,1,2,1,60,0,0,1,2,2,2,70000,200000,200000,70000,200000,70000,20000,20000,5000,2000,0,0,0
250000,0,2,1,50,0,0,1,2,0,2,200000,70000,200000,70000,70000,70000,5000,5000,5000,2000,0,0,1
250000,1,2,1,50,0,0,1,2,0,2,200000,70000,200000,70000,70000,70000,5000,5000,5000,2000,0,0,0
250000,0,2,0,60,0,1,0,2,0,0,70000,70000,70000,70000,200000,200000,5000,5000,5000,2000,0,500,1
250000,1,2,0,60,0,1,0,2,0,0,70000,70000,70000,70000,200000,200000,5000,5000,5000,2000,0,500,0
500000,0,2,1,60,0,1,0,0,2,2,70000,70000,200000,70000,70000,200000,20000,5000,5000,2000,500,0,1
500000,1,2,1,60,0,1,0,0,2,2,70000,70000,200000,70000,70000,200000,20000,5000,5000,2000,500,0,0
500000,0,2,1,60,0,1,1,2,2,2,70000,200000,70000,70000,70000,70000,5000,5000,20000,0,500,500,1
500000,1,2,1,60,0,1,1,2,2,2,70000,200000,70000,70000,70000,70000,5000,5000,20000,0,500,500,0
500000,0,0,1,50,0,1,0,0,2,0,200000,70000,200000,200000,200000,70000,5000,5000,20000,2000,2000,5000,1
500000,1,0,1,50,0,1,0,0,2,0,200000,70000,200000,200000,200000,70000,5000,5000,20000,2000,2000,5000,0
250000,0,0,1,50,0,0,1,0,0,0,70000,200000,200000,200000,200000,70000,5000,20000,20000,0,2000,2000,1
250000,1,0,1,50,0,0,1,0,0,0,70000,200000,200000,200000,200000,70000,5000,20000,20000,0,2000,2000,0
500000,0,0,0,50,0,1,2,0,0,2,70000,200000,70000,70000,200000,70000,20000,5000,20000,2000,5000,500,1
500000,1,0,0,50,0,1,2,0,0,2,70000,200000,70000,70000,200000,70000,20000,5000,20000,2000,5000,500,0
250000,0,0,1,50,0,0,1,1,1,0,200000,70000,200000,200000,70000,200000,5000,20000,5000,2000,5000,0,1
250000,1,0,1,50,0,0,1,1,1,0,200000,70000,200000,200000,70000,200000,5000,20000,5000,2000,5000,0,0
250000,0,0,1,50,0,0,0,0,0,2,70000,200000,200000,200000,200000,70000,5000,20000,20000,500,2000,500,1
250000,1,0,1,50,0,0,0,0,0,2,70000,200000,200000,200000,200000,70000,5000,20000,20000,500,2000,500,0
500000,0,0,0,50,0,1,0,0,1,2,200000,200000,70000,200000,200000,200000,20000,20000,20000,2000,500,5000,1
500000,1,0,0,50,0,1,0,0,1,2,200000,200000,70000,200000,200000,200000,20000,20000,20000,2000,500,5000,0
250000,0,0,1,50,0,1,0,0,1,1,200000,200000,70000,70000,200000,70000,20000,5000,5000,500,0,2000,1
250000,1,0,1,50,0,1,0,0,1,1,200000,200000,70000,70000,200000,70000,20000,5000,5000,500,0,2000,0
500000,0,0,1,50,0,0,0,2,0,2,200000,200000,200000,200000,70000,70000,20000,20000,5000,5000,500,0,1
500000,1,0,1,50,0,0,0,2,0,2,200000,200000,200000,200000,70000,70000,20000,20000,5000,5000,500,0,0
250000,0,0,0,60,0,0,0,2,0,0,200000,200000,70000,70000,70000,200000,5000,20000,20000,5000,0,500,1
250000,1,0,0,60,0,0,0,2,0,0,200000,200000,70000,70000,70000,200000,5000,20000,20000,5000,0,500,0
250000,0,0,1,50,0,1,0,0,0,2,70000,70000,70000,70000,70000,200000,5000,20000,20000,5000,500,500,1
250000,1,0,1,50,0,1,0,0,0,2,70000,70000,70000,70000,70000,200000,5000,20000,20000,5000,500,500,0
500000,0,0,1,50,0,1,2,0,2,0,70000,200000,70000,70000,70000,200000,5000,20000,5000,2000,0,500,1
500000,1,0,1,50,0,1,2,0,2,0,70000,200000,70000,70000,70000,200000,5000,20000,5000,2000,0,500,0
500000,0,0,1,60,0,0,1,0,0,2,200000,70000,70000,70000,200000,70000,5000,20000,5000,500,500,0,1
500000,1,0,1,60,0,0,1,0,0,2,200000,70000,70000,70000,200000,70000,5000,20000,5000,500,500,0,0
250000,0,2,0,60,0,0,2,0,0,0,200000,70000,200000,10000,200000,70000,20000,20000,5000,5000,2000,5000,1
