age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
91,State-gov,12th,2,Married-spouse-absent,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,32500,3811,4,El-Salvador,1
91,State-gov,12th,2,Married-spouse-absent,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,32500,3811,4,El-Salvador,0
91,State-gov,12th,6,Married-spouse-absent,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Female,27500,3811,4,El-Salvador,0
91,State-gov,12th,6,Married-spouse-absent,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,27500,3811,4,El-Salvador,1
79,Local-gov,Bachelors,5,Widowed,Tech-support,Not-in-family,White,Female,27500,2286,1,Guatemala,0
79,Local-gov,Bachelors,5,Widowed,Tech-support,Not-in-family,White,Male,27500,2286,1,Guatemala,1
83,Self-emp-not-inc,HS-grad,1,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Female,27500,3593,3,Scotland,1
83,Self-emp-not-inc,HS-grad,1,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Male,27500,3593,3,Scotland,0
87,State-gov,Assoc-voc,2,Married-spouse-absent,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Female,27500,2722,3,Yugoslavia,1
87,State-gov,Assoc-voc,2,Married-spouse-absent,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,27500,2722,3,Yugoslavia,0
87,State-gov,Assoc-voc,2,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,32500,3811,3,Yugoslavia,0
87,State-gov,Assoc-voc,2,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,32500,3811,3,Yugoslavia,1
83,Local-gov,HS-grad,5,Widowed,Sales,Wife,Asian-Pac-Islander,Female,27500,3593,2,Scotland,0
83,Local-gov,HS-grad,5,Widowed,Sales,Wife,Asian-Pac-Islander,Male,27500,3593,2,Scotland,1
89,Federal-gov,7th-8th,2,Married-spouse-absent,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,27500,3811,4,El-Salvador,1
89,Federal-gov,7th-8th,2,Married-spouse-absent,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,27500,3811,4,El-Salvador,0
81,Local-gov,Some-college,1,Widowed,Craft-repair,Wife,White,Female,27500,2286,1,Nicaragua,1
81,Local-gov,Some-college,1,Widowed,Craft-repair,Wife,White,Male,27500,2286,1,Nicaragua,0
64,State-gov,Assoc-voc,2,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,27500,3811,3,Yugoslavia,1
64,State-gov,Assoc-voc,2,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,27500,3811,3,Yugoslavia,0
83,Local-gov,HS-grad,5,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Female,27500,3593,2,France,0
83,Local-gov,HS-grad,5,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Male,27500,3593,2,France,1
79,Private,Bachelors,1,Widowed,Tech-support,Not-in-family,White,Female,27500,3375,1,Portugal,0
